time,temp_c
night08T03:00,-16.3
night08T04:00,-15.2
night08T05:00,-15.8
night08T06:00,-15.7
night08T07:00,-15.5
night08T08:00,-15.7
night08T09:00,-15.5
night08T10:00,-15.6
night08T11:00,-15.9
night08T12:00,-16.6
night08T13:00,-16.9
night08T14:00,-16.7
night08T15:00,-16.6
night08T16:00,-16.5
night08T17:00,-17.4
night08T18:00,-18.0
night08T19:00,-17.9
night08T20:00,-16.5
night08T21:00,-16.9
night08T22:00,-16.7
night08T23:00,-16.0
night09T00:00,-15.9
night09T01:00,-15.6
night09T02:00,-15.4
night09T03:00,-16.5
night09T04:00,-15.8
night09T05:00,-15.7
night09T06:00,-16.2
night09T07:00,-15.6
night09T08:00,-15.3
night09T09:00,-15.6
night09T10:00,-15.4
night09T11:00,-15.9
night09T12:00,-16.2
night09T13:00,-17.4
night09T14:00,-16.4
night09T15:00,-16.9
night09T16:00,-17.5
night09T17:00,-17.8
night09T18:00,-17.8
night09T19:00,-18.0
night09T20:00,-17.7
night09T21:00,-16.7
night09T22:00,-17.5
night09T23:00,-17.1
night10T00:00,-16.1
night10T01:00,-16.8
night10T02:00,-16.5
night10T03:00,-16.6
night10T04:00,-16.2
night10T05:00,-15.0
night10T06:00,-15.1
night10T07:00,-15.8
night10T08:00,-15.8
night10T09:00,-15.5
night10T10:00,-16.2
night10T11:00,-16.0
night10T12:00,-15.9
night10T13:00,-16.4
night10T14:00,-17.0
night10T15:00,-17.8
night10T16:00,-17.9
night10T17:00,-18.0
night10T18:00,-17.5
night10T19:00,-17.2
night10T20:00,-17.7
night10T21:00,-16.6
night10T22:00,-16.5
night10T23:00,-16.8
night11T00:00,-17.0
night11T01:00,-16.5
night11T02:00,-16.1
night11T03:00,-15.4
night11T04:00,-16.2
night11T05:00,-15.3
night11T06:00,-14.9
night11T07:00,-15.6
night11T08:00,-15.0
night11T09:00,-16.4
night11T10:00,-15.6
night11T11:00,-16.8
night11T12:00,-15.7
night11T13:00,-16.6
night11T14:00,-16.5
night11T15:00,-17.4
night11T16:00,-17.1
night11T17:00,-16.9
night11T18:00,-16.6
night11T19:00,-18.0
night11T20:00,-17.9
night11T21:00,-17.0
night11T22:00,-17.1
night11T23:00,-16.9
night12T00:00,-16.9
night12T01:00,-16.0
night12T02:00,-16.5
night12T03:00,-16.1
night12T04:00,-15.5
night12T05:00,-15.6
night12T06:00,-15.9
night12T07:00,-15.6
night12T08:00,-15.7
night12T09:00,-16.4
night12T10:00,-15.7
night12T11:00,-15.8
night12T12:00,-15.9
night12T13:00,-17.4
night12T14:00,-16.3
night12T15:00,-16.5
night12T16:00,-16.8
night12T17:00,-17.0
night12T18:00,-17.5
night12T19:00,-17.9
night12T20:00,-16.5
night12T21:00,-16.8
night12T22:00,-16.1
night12T23:00,-17.0
night13T00:00,-16.1
night13T01:00,-16.3
night13T02:00,-15.2
night13T03:00,-15.2
night13T04:00,-15.4
night13T05:00,-16.2
night13T06:00,-15.3
night13T07:00,-14.8
night13T08:00,-16.4
night13T09:00,-16.3
night13T10:00,-15.7
night13T11:00,-16.8
night13T12:00,-15.7
night13T13:00,-17.0
night13T14:00,-16.6
night13T15:00,-17.0
night13T16:00,-16.9
night13T17:00,-17.2
night13T18:00,-17.8
night13T19:00,-17.8
night13T20:00,-17.0
night13T21:00,-16.9
night13T22:00,-16.6
night13T23:00,-16.2
night14T00:00,-16.0
night14T01:00,-15.5
night14T02:00,-15.2
night14T03:00,-16.3
night14T04:00,-14.9
night14T05:00,-16.0
night14T06:00,-14.7
night14T07:00,-16.1
night14T08:00,-15.1
night14T09:00,-15.9
night14T10:00,-16.4
night14T11:00,-16.9
night14T12:00,-16.7
night14T13:00,-16.6
night14T14:00,-16.2
night14T15:00,-17.3
night14T16:00,-17.4
night14T17:00,-17.6
night14T18:00,-17.4
night14T19:00,-17.6
night14T20:00,-17.9
night14T21:00,-17.2
night14T22:00,-17.2
night14T23:00,-16.2
night15T00:00,-16.0
night15T01:00,-15.5
night15T02:00,-16.4
night15T03:00,-16.1
night15T04:00,-16.0
night15T05:00,-15.9
night15T06:00,-14.9
night15T07:00,-16.0
night15T08:00,-16.0
night15T09:00,-15.0
night15T10:00,-16.4
night15T11:00,-16.4
night15T12:00,-15.8
night15T13:00,-16.4
night15T14:00,-17.1
night15T15:00,-16.9
night15T16:00,-16.5
night15T17:00,-17.7
night15T18:00,-17.0
night15T19:00,-17.9
night15T20:00,-16.7
night15T21:00,-16.9
night15T22:00,-17.6
night15T23:00,-16.1
night16T00:00,-17.0
night16T01:00,-16.7
night16T02:00,-15.4
night16T03:00,-15.2
night16T04:00,-16.3
night16T05:00,-14.8
night16T06:00,-15.8
night16T07:00,-15.3
night16T08:00,-15.5
night16T09:00,-16.0
night16T10:00,-16.2
night16T11:00,-16.3
night16T12:00,-17.0
night16T13:00,-16.0
night16T14:00,-16.4
night16T15:00,-17.8
night16T16:00,-17.1
night16T17:00,-17.6
night16T18:00,-17.8
night16T19:00,-16.9
night16T20:00,-17.4
night16T21:00,-16.8
night16T22:00,-16.4
night16T23:00,-16.0
night17T00:00,-16.2
night17T01:00,-15.5
night17T02:00,-15.2
night17T03:00,-15.8
night17T04:00,-15.0
night17T05:00,-16.1
night17T06:00,-16.2
night17T07:00,-15.8
night17T08:00,-15.9
night17T09:00,-16.0
night17T10:00,-16.6
night17T11:00,-15.7
night17T12:00,-16.5
night17T13:00,-16.1
night17T14:00,-16.3
night17T15:00,-16.6
night17T16:00,-16.6
night17T17:00,-18.1
night17T18:00,-17.6
night17T19:00,-16.5
night17T20:00,-16.7
night17T21:00,-17.4
night17T22:00,-16.2
night17T23:00,-16.7
night18T00:00,-16.5
night18T01:00,-16.3
night18T02:00,-16.7
night18T03:00,-15.5
night18T04:00,-15.3
night18T05:00,-15.7
night18T06:00,-15.2
night18T07:00,-15.1
night18T08:00,-15.0
night18T09:00,-16.4
night18T10:00,-16.1
night18T11:00,-16.1
night18T12:00,-15.8
night18T13:00,-17.0
night18T14:00,-17.5
night18T15:00,-16.4
night18T16:00,-16.5
night18T17:00,-16.7
night18T18:00,-17.0
night18T19:00,-17.9
night18T20:00,-17.4
night18T21:00,-17.3
night18T22:00,-16.2
night18T23:00,-15.9
night19T00:00,-15.7
night19T01:00,-15.9
night19T02:00,-16.2
night19T03:00,-16.2
night19T04:00,-15.9
night19T05:00,-16.2
night19T06:00,-15.3
night19T07:00,-15.2
night19T08:00,-14.8
night19T09:00,-15.9
night19T10:00,-16.7
night19T11:00,-15.5
night19T12:00,-15.9
night19T13:00,-16.9
night19T14:00,-16.1
night19T15:00,-16.5
night19T16:00,-17.1
night19T17:00,-17.4
night19T18:00,-17.3
night19T19:00,-17.8
night19T20:00,-17.7
night19T21:00,-16.3
night19T22:00,-17.2
night19T23:00,-16.7
night20T00:00,-16.7
night20T01:00,-15.5
night20T02:00,-15.2
night20T03:00,-15.4
night20T04:00,-15.4
night20T05:00,-15.6
night20T06:00,-15.5
night20T07:00,-15.0
night20T08:00,-15.9
night20T09:00,-16.2
night20T10:00,-16.0
night20T11:00,-16.9
night20T12:00,-16.5
night20T13:00,-16.8
night20T14:00,-17.4
night20T15:00,-17.5
night20T16:00,-17.4
night20T17:00,-17.6
night20T18:00,-17.7
night20T19:00,-17.9
night20T20:00,-17.7
night20T21:00,-16.5
night20T22:00,-17.6
night20T23:00,-17.0
night21T00:00,-15.7
night21T01:00,-16.3
night21T02:00,-15.4
night21T03:00,-15.8
night21T04:00,-15.2
night21T05:00,-15.1
night21T06:00,-15.9
night21T07:00,-14.9
night21T08:00,-15.1
night21T09:00,-15.4
night21T10:00,-15.9
night21T11:00,-15.9
night21T12:00,-16.4
night21T13:00,-16.0
night21T14:00,-16.5
night21T15:00,-16.5
night21T16:00,-16.7
night21T17:00,-17.6
night21T18:00,-17.8
night21T19:00,-17.6
night21T20:00,-17.7
night21T21:00,-16.3
night21T22:00,-16.1
night21T23:00,-17.1
night22T00:00,-16.3
night22T01:00,-16.9
night22T02:00,-16.0
night22T03:00,-16.2
night22T04:00,-15.3
night22T05:00,-15.0
night22T06:00,-15.1
night22T07:00,-15.2
night22T08:00,-16.4
night22T09:00,-16.3
night22T10:00,-16.6
night22T11:00,-15.5
night22T12:00,-16.0
night22T13:00,-16.8
night22T14:00,-16.2
night22T15:00,-16.5
night22T16:00,-17.1
night22T17:00,-17.5
night22T18:00,-16.7
night22T19:00,-18.0
night22T20:00,-16.6
night22T21:00,-16.6
night22T22:00,-16.4
night22T23:00,-16.1
night23T00:00,-16.4
night23T01:00,-16.2
night23T02:00,-15.8
night23T03:00,-15.4
night23T04:00,-15.4
night23T05:00,-15.1
night23T06:00,-14.8
night23T07:00,-15.1
night23T08:00,-15.2
night23T09:00,-15.1
night23T10:00,-15.4
night23T11:00,-16.7
night23T12:00,-16.2
night23T13:00,-16.9
night23T14:00,-16.1
night23T15:00,-17.0
night23T16:00,-16.4
night23T17:00,-17.9
night23T18:00,-17.5
night23T19:00,-16.5
night23T20:00,-17.4
night23T21:00,-16.8
night23T22:00,-17.6
night23T23:00,-17.1
night24T00:00,-15.8
night24T01:00,-16.3
night24T02:00,-15.2
night24T03:00,-15.6
night24T04:00,-16.1
night24T05:00,-15.6
night24T06:00,-15.9
night24T07:00,-15.5
night24T08:00,-15.2
night24T09:00,-16.3
night24T10:00,-16.1
night24T11:00,-16.6
night24T12:00,-17.0
night24T13:00,-16.1
night24T14:00,-16.7
night24T15:00,-16.9
night24T16:00,-16.6
night24T17:00,-17.2
night24T18:00,-16.7
night24T19:00,-17.9
night24T20:00,-17.7
night24T21:00,-16.7
night24T22:00,-16.4
night24T23:00,-16.2
night25T00:00,-16.3
night25T01:00,-16.2
night25T02:00,-15.8
night25T03:00,-15.6
night25T04:00,-15.1
night25T05:00,-15.8
night25T06:00,-15.3
night25T07:00,-15.2
night25T08:00,-15.7
night25T09:00,-16.0
night25T10:00,-16.3
night25T11:00,-15.8
night25T12:00,-16.4
night25T13:00,-17.0
night25T14:00,-17.3
night25T15:00,-17.1
night25T16:00,-17.9
night25T17:00,-17.3
night25T18:00,-17.9
night25T19:00,-17.8
night25T20:00,-16.8
night25T21:00,-16.4
night25T22:00,-16.9
night25T23:00,-15.9
night26T00:00,-17.2
night26T01:00,-15.7
night26T02:00,-15.9
night26T03:00,-16.1
night26T04:00,-15.8
night26T05:00,-15.1
night26T06:00,-15.8
night26T07:00,-15.5
night26T08:00,-15.0
night26T09:00,-15.9
night26T10:00,-15.9
night26T11:00,-15.9
night26T12:00,-16.3
night26T13:00,-16.3
night26T14:00,-16.8
night26T15:00,-17.6
night26T16:00,-17.7
night26T17:00,-16.5
night26T18:00,-17.9
night26T19:00,-16.9
night26T20:00,-17.2
night26T21:00,-16.5
night26T22:00,-16.5
night26T23:00,-17.3
night27T00:00,-16.6
night27T01:00,-16.8
night27T02:00,-15.9
night27T03:00,-15.7
night27T04:00,-15.0
night27T05:00,-15.6
night27T06:00,-15.9
night27T07:00,-15.5
night27T08:00,-16.4
night27T09:00,-15.5
night27T10:00,-15.5
night27T11:00,-16.6
night27T12:00,-15.9
night27T13:00,-17.1
night27T14:00,-16.4
night27T15:00,-16.4
night27T16:00,-17.5
night27T17:00,-17.7
night27T18:00,-17.0
night27T19:00,-16.5
night27T20:00,-17.8
night27T21:00,-17.8
night27T22:00,-16.5
night27T23:00,-17.4
night28T00:00,-17.1
night28T01:00,-16.0
night28T02:00,-16.7
night28T03:00,-16.5
night28T04:00,-15.5
night28T05:00,-15.8
night28T06:00,-16.1
night28T07:00,-15.6
night28T08:00,-14.8
night28T09:00,-15.4
night28T10:00,-16.0
night28T11:00,-15.7
night28T12:00,-15.9
night28T13:00,-16.7
night28T14:00,-17.3
night28T15:00,-16.7
night28T16:00,-17.2
night28T17:00,-17.9
night28T18:00,-16.5
night28T19:00,-17.8
night28T20:00,-17.8
night28T21:00,-17.7
night28T22:00,-16.7
night28T23:00,-16.7
night29T00:00,-16.8
night29T01:00,-15.6
night29T02:00,-16.2
night29T03:00,-15.7
night29T04:00,-15.0
night29T05:00,-14.9
night29T06:00,-14.7
night29T07:00,-16.1
night29T08:00,-15.3
night29T09:00,-16.1
night29T10:00,-16.1
night29T11:00,-16.9
night29T12:00,-16.1
night29T13:00,-16.7
night29T14:00,-16.2
night29T15:00,-16.6
night29T16:00,-17.6
night29T17:00,-17.1
night29T18:00,-17.4
night29T19:00,-16.6
night29T20:00,-17.2
night29T21:00,-17.7
night29T22:00,-17.0
night29T23:00,-17.1
night30T00:00,-15.7
night30T01:00,-15.4
night30T02:00,-16.2
night30T03:00,-15.0
night30T04:00,-15.6
night30T05:00,-14.9
night30T06:00,-16.0
night30T07:00,-15.8
night30T08:00,-14.9
night30T09:00,-16.3
night30T10:00,-16.2
night30T11:00,-16.8
night30T12:00,-16.0
night30T13:00,-16.7
night30T14:00,-16.7
night30T15:00,-16.7
night30T16:00,-17.8
night30T17:00,-16.9
night30T18:00,-16.7
night30T19:00,-17.8
night30T20:00,-17.9
night30T21:00,-17.6
night30T22:00,-17.0
night30T23:00,-16.6
night31T00:00,-16.3
night31T01:00,-15.7
night31T02:00,-16.2
night31T03:00,-15.1
night31T04:00,-16.3
night31T05:00,-16.0
night31T06:00,-16.2
night31T07:00,-15.5
night31T08:00,-15.8
night31T09:00,-15.6
night31T10:00,-16.7
night31T11:00,-16.3
night31T12:00,-17.2
night31T13:00,-17.0
night31T14:00,-17.0
night31T15:00,-16.6
night31T16:00,-17.5
night31T17:00,-16.7
night31T18:00,-17.3
night31T19:00,-16.9
night31T20:00,-17.4
night31T21:00,-17.6
night31T22:00,-16.3
night31T23:00,-17.1
night32T00:00,-16.6
night32T01:00,-16.4
night32T02:00,-6.2
night32T03:00,-2.1
night32T04:00,-15.8
night32T05:00,-15.8
night32T06:00,-15.8
night32T07:00,-15.8
night32T08:00,-15.8
night32T09:00,-15.8
night32T10:00,-15.8
night32T11:00,-15.8
night32T12:00,-15.8
night32T13:00,-15.8
night32T14:00,-15.8
night32T15:00,-15.8
night32T16:00,-15.8
night32T17:00,-15.8
night32T18:00,-15.8
night32T19:00,-15.8
night32T20:00,-15.8
night32T21:00,-15.8
night32T22:00,-15.8
night32T23:00,-15.8
night33T00:00,-16.7
night33T01:00,-15.7
night33T02:00,-15.5
night33T03:00,-15.9
night33T04:00,-14.9
night33T05:00,-14.9
night33T06:00,-15.3
night33T07:00,-15.5
night33T08:00,-15.5
night33T09:00,-15.9
night33T10:00,-15.7
night33T11:00,-16.0
night33T12:00,-15.9
night33T13:00,-17.0
night33T14:00,-17.5
night33T15:00,-16.5
night33T16:00,-17.5
night33T17:00,-17.8
night33T18:00,-17.7
night33T19:00,-17.2
night33T20:00,-16.6
night33T21:00,-16.7
night33T22:00,-16.8
night33T23:00,-17.1
night34T00:00,-17.2
night34T01:00,-16.3
night34T02:00,-15.5
night34T03:00,-16.4
night34T04:00,-15.0
night34T05:00,-16.1
night34T06:00,-16.0
night34T07:00,-15.3
night34T08:00,-15.7
night34T09:00,-16.5
night34T10:00,-16.1
night34T11:00,-15.4
night34T12:00,-17.2
night34T13:00,-16.3
night34T14:00,-17.5
night34T15:00,-17.3
night34T16:00,-16.5
night34T17:00,-16.9
night34T18:00,-17.2
night34T19:00,-16.6
night34T20:00,-17.2
night34T21:00,-17.8
night34T22:00,-16.9
night34T23:00,-16.2
night35T00:00,-15.9
night35T01:00,-15.4
night35T02:00,-15.8
night35T03:00,-15.0
night35T04:00,-14.9
night35T05:00,-16.2
night35T06:00,-15.0
night35T07:00,-15.8
night35T08:00,-14.9
night35T09:00,-15.0
night35T10:00,-16.2
night35T11:00,-16.5
night35T12:00,-17.2
night35T13:00,-16.2
night35T14:00,-16.7
night35T15:00,-16.4
night35T16:00,-17.9
night35T17:00,-17.4
night35T18:00,-17.8
night35T19:00,-17.3
night35T20:00,-16.6
night35T21:00,-16.4
night35T22:00,-16.3
night35T23:00,-16.0
night36T00:00,-16.3
night36T01:00,-16.0
night36T02:00,-16.5
night36T03:00,-15.1
night36T04:00,-14.9
night36T05:00,-15.0
night36T06:00,-15.4
night36T07:00,-14.8
night36T08:00,-15.1
night36T09:00,-15.5
night36T10:00,-15.2
night36T11:00,-15.8
night36T12:00,-17.1
night36T13:00,-16.2
night36T14:00,-16.8
night36T15:00,-17.7
night36T16:00,-17.4
night36T17:00,-16.7
night36T18:00,-17.0
night36T19:00,-16.9
night36T20:00,-17.3
night36T21:00,-17.4
night36T22:00,-17.2
night36T23:00,-15.9
night37T00:00,-16.2
night37T01:00,-16.7
night37T02:00,-15.5
night37T03:00,-16.2
night37T04:00,-16.4
night37T05:00,-15.9
night37T06:00,-15.9
night37T07:00,-15.9
night37T08:00,-15.8
night37T09:00,-16.3
night37T10:00,-16.7
night37T11:00,-16.5
night37T12:00,-16.3
night37T13:00,-16.0
night37T14:00,-17.6
night37T15:00,-17.6
night37T16:00,-17.8
night37T17:00,-17.9
night37T18:00,-17.3
night37T19:00,-17.6
night37T20:00,-17.3
night37T21:00,-17.5
night37T22:00,-17.2
night37T23:00,-15.9
night38T00:00,-16.4
night38T01:00,-16.4
night38T02:00,-16.5
night38T03:00,-16.5
night38T04:00,-16.1
night38T05:00,-16.1
night38T06:00,-16.1
night38T07:00,-15.6
night38T08:00,-16.2
night38T09:00,-15.1
night38T10:00,-16.6
night38T11:00,-16.0
night38T12:00,-17.1
night38T13:00,-17.0
night38T14:00,-17.3
night38T15:00,-17.4
night38T16:00,-17.5
night38T17:00,-18.0
night38T18:00,-17.0
night38T19:00,-17.0
night38T20:00,-17.6
night38T21:00,-17.3
night38T22:00,-16.2
night38T23:00,-16.5
night39T00:00,-17.0
night39T01:00,-16.3
night39T02:00,-16.7
night39T03:00,-15.5
night39T04:00,-16.3
night39T05:00,-15.0
night39T06:00,-14.7
night39T07:00,-15.8
night39T08:00,-15.2
night39T09:00,-16.4
night39T10:00,-15.5
night39T11:00,-15.6
night39T12:00,-17.1
night39T13:00,-16.6
night39T14:00,-17.5
night39T15:00,-17.1
night39T16:00,-16.7
night39T17:00,-17.7
night39T18:00,-18.1
night39T19:00,-16.8
night39T20:00,-16.5
night39T21:00,-16.4
night39T22:00,-17.1
night39T23:00,-17.1
night40T00:00,-16.8
night40T01:00,-16.6
night40T02:00,-16.4
night40T03:00,-16.4
night40T04:00,-15.2
night40T05:00,-15.6
night40T06:00,-16.0
night40T07:00,-15.2
night40T08:00,-15.8
night40T09:00,-15.0
night40T10:00,-16.5
night40T11:00,-15.4
night40T12:00,-16.3
night40T13:00,-16.0
night40T14:00,-17.2
night40T15:00,-17.3
night40T16:00,-16.7
night40T17:00,-17.8
night40T18:00,-16.7
night40T19:00,-16.8
night40T20:00,-17.5
night40T21:00,-17.2
night40T22:00,-16.4
night40T23:00,-16.6
night41T00:00,-17.1
night41T01:00,-15.4
night41T02:00,-15.5
night41T03:00,-16.5
night41T04:00,-16.2
night41T05:00,-15.4
night41T06:00,-16.2
night41T07:00,-16.2
night41T08:00,-15.7
night41T09:00,-16.5
night41T10:00,-16.3
night41T11:00,-16.1
night41T12:00,-15.9
night41T13:00,-16.7
night41T14:00,-16.7
night41T15:00,-17.4
night41T16:00,-17.0
night41T17:00,-17.6
night41T18:00,-17.4
night41T19:00,-17.3
night41T20:00,-17.1
night41T21:00,-17.4
night41T22:00,-17.3
night41T23:00,-16.6
night42T00:00,-15.6
night42T01:00,-16.0
night42T02:00,-16.3
night42T03:00,-15.6
night42T04:00,-15.5
night42T05:00,-16.1
night42T06:00,-16.2
night42T07:00,-15.2
night42T08:00,-16.1
night42T09:00,-16.1
night42T10:00,-15.9
night42T11:00,-16.9
night42T12:00,-15.7
night42T13:00,-17.1
night42T14:00,-17.1
night42T15:00,-16.9
night42T16:00,-16.4
night42T17:00,-16.9
night42T18:00,-17.0
night42T19:00,-16.7
night42T20:00,-18.0
night42T21:00,-17.6
night42T22:00,-17.5
night42T23:00,-16.4
night43T00:00,-17.1
night43T01:00,-16.4
night43T02:00,-16.5
night43T03:00,-15.0
night43T04:00,-16.3
night43T05:00,-15.2
night43T06:00,-15.3
night43T07:00,-15.4
night43T08:00,-15.3
night43T09:00,-15.4
night43T10:00,-15.8
night43T11:00,-16.5
night43T12:00,-16.5
night43T13:00,-17.3
night43T14:00,-16.8
night43T15:00,-17.8
night43T16:00,-17.4
night43T17:00,-17.8
night43T18:00,-17.8
night43T19:00,-17.1
night43T20:00,-17.8
night43T21:00,-16.5
night43T22:00,-16.2
night43T23:00,-16.6
night44T00:00,-15.6
night44T01:00,-16.2
night44T02:00,-16.0
night44T03:00,-15.3
night44T04:00,-14.8
night44T05:00,-15.3
night44T06:00,-15.0
night44T07:00,-16.0
night44T08:00,-15.9
night44T09:00,-15.9
night44T10:00,-16.6
night44T11:00,-15.8
night44T12:00,-17.0
night44T13:00,-16.4
night44T14:00,-16.6
night44T15:00,-17.0
night44T16:00,-17.4
night44T17:00,-16.8
night44T18:00,-17.9
night44T19:00,-16.8
night44T20:00,-17.2
night44T21:00,-17.4
night44T22:00,-17.1
night44T23:00,-16.8
night45T00:00,-16.0
night45T01:00,-16.3
night45T02:00,-16.1
night45T03:00,-15.7
night45T04:00,-15.2
night45T05:00,-16.2
night45T06:00,-14.8
night45T07:00,-15.4
night45T08:00,-15.7
night45T09:00,-16.2
night45T10:00,-15.3
night45T11:00,-16.8
night45T12:00,-16.2
night45T13:00,-16.1
night45T14:00,-17.4
night45T15:00,-17.1
night45T16:00,-17.0
night45T17:00,-17.0
night45T18:00,-18.1
night45T19:00,-17.7
night45T20:00,-17.4
night45T21:00,-16.7
night45T22:00,-17.5
night45T23:00,-16.1
night46T00:00,-15.9
night46T01:00,-16.2
night46T02:00,-15.5
night46T03:00,-15.8
night46T04:00,-15.3
night46T05:00,-15.6
night46T06:00,-16.2
night46T07:00,-15.9
night46T08:00,-15.0
night46T09:00,-16.0
night46T10:00,-15.5
night46T11:00,-15.7
night46T12:00,-16.3
night46T13:00,-17.3
night46T14:00,-17.1
night46T15:00,-16.8
night46T16:00,-17.8
night46T17:00,-17.8
night46T18:00,-16.8
night46T19:00,-18.0
night46T20:00,-17.2
night46T21:00,-16.8
night46T22:00,-17.3
night46T23:00,-16.3
night47T00:00,-17.0
night47T01:00,-16.6
night47T02:00,-15.9
night47T03:00,-15.7
night47T04:00,-16.4
night47T05:00,-14.9
night47T06:00,-15.6
night47T07:00,-15.2
night47T08:00,-16.0
night47T09:00,-15.3
night47T10:00,-16.3
night47T11:00,-16.5
night47T12:00,-16.4
night47T13:00,-16.2
night47T14:00,-17.1
night47T15:00,-16.3
night47T16:00,-17.6
night47T17:00,-17.7
night47T18:00,-17.0
night47T19:00,-18.0
night47T20:00,-17.4
night47T21:00,-17.3
night47T22:00,-17.0
night47T23:00,-16.2
night48T00:00,-16.1
night48T01:00,-16.9
night48T02:00,-15.5
night48T03:00,-15.2
night48T04:00,-14.9
night48T05:00,-16.1
night48T06:00,-15.6
night48T07:00,-15.1
night48T08:00,-14.8
night48T09:00,-15.5
night48T10:00,-15.4
night48T11:00,-16.0
night48T12:00,-16.9
night48T13:00,-17.3
night48T14:00,-16.9
night48T15:00,-17.2
night48T16:00,-17.9
night48T17:00,-17.8
night48T18:00,-17.2
night48T19:00,-17.5
night48T20:00,-17.9
night48T21:00,-16.8
night48T22:00,-17.1
night48T23:00,-17.0
